title|episodes|rate|genre|
Wakakozake (Drama)||4.7|food|
Tokyo Ghoul: re||3.9|fantasy,seinen|
Death Note (Drama)|11|4.21|fantasy,mystery|
18if||3.53|fantasy, supernatural|
Maerchen Maedchen|12|3.9|fantasy, supernatural|
Hikaru no Go||4.83|fantasy, sports|
If It's for My Daughter, I'd Even Defeat a Demon Lord|12|4.3|fantasy, slice of life|
Myriad Colors Phantom World|13|3.88|fantasy, slice of life|
MYSTERIA Friends|1|3.56|fantasy, slice of life|
Celestial Method|13|4.11|fantasy, slice of life|
ENDRO!|12|4.75|fantasy, slice of life|
Clockwork Planet|12|3.15|fantasy, sci-fi|
Hiiro no Kakera||4.19|fantasy, romance|
Lord El-Melloi II's Case Files {Rail Zeppelin} Grace note|14|4.58|fantasy, mystery, supernatural|
Fairy Musketeers||4.77|fantasy, magical girls|
Isekai Izakaya: Japanese Food From Another World|24|4.21|fantasy, isekai, slice of life|
Happiness!||4.73|fantasy, harem, romance|
Campione!|13|4.37|fantasy, harem, romance|
Sword Art Online|89|4.4|fantasy|
7 Ghost||4.78|fantasy|
Comet Lucifer|12|2.87|fantasy|
Merc StoriA: The Apathetic Boy and the Girl in a Bottle|12|3.73|fantasy|
FOREST FAIRY FIVE|25|2.2|fantasy|
Magia Record: Puella Magi Madoka Magica Side Story|1|4.45|fantasy|
Fate/Grand Order -MOONLIGHT/LOSTROOM-|1|5|fantasy|
Phoenix||3.5|fantasy|
Digimon Xros Wars - The Young Hunters Who Leapt Through Time||4.64|fantasy|
The Golden Path||3.8|family, sgdrama|
The Ultimatum||2.33|family, sgdrama|
Akagi|26|4.68|drama, thriller|
Boogiepop and Others|18|4.22|drama, supernatural, thriller|
Makai Ouji: Devils and Realist|12|4.8|drama, supernatural|
Hell Girl: Fourth Twilight|12|3.95|drama, supernatural|
Yuri!!! on ICE|12|4.83|drama, sports|
Free! Iwatobi Swim Club|49|4.64|drama, sports|
DAYS|24|4.32|drama, sports|
Harukana Receive|12|4.42|drama, sports|
Big Windup! 2||4.71|drama, sports|
Tegami Bachi Letter Bee||4.83|drama, slice of life, supernatural|
Tsurune|14|4.71|drama, slice of life, sports|
Cinderella Nine|12|4.25|drama, slice of life, sports|
Run with the Wind|23|4.95|drama, shonen, slice of life, sports|
EVIL OR LIVE|13|2.85|drama, seinen, thriller|
HANEBADO!|13|3.89|drama, seinen, sports|
Classroom of the Elite|12|4.47|drama, seinen, slice of life, thriller|
The Case Files of Jeweler Richard|11|4.76|drama, seinen, slice of life|
Tabimachi Lateshow|4|4.54|drama, seinen, slice of life|
Investor Z (Motion Manga)||4.67|drama, seinen|
Lostorage incited WIXOSS|24|3.3|drama, sci-fi, thriller|
MEGALOBOX|13|4.79|drama, sci-fi, sports|
Space Brothers|99|4.82|drama, sci-fi, slice of life|
ISLAND|12|3.47|drama, sci-fi, slice of life|
KADO: The Right Answer|14|3.85|drama, sci-fi, seinen|
Garakowa -Restore the World-|3|3.82|drama, sci-fi|
Dallos||3.33|drama, sci-fi|
Captain Harlock: Arcadia of my Youth|||drama, sci-fi|
The Fruit of Grisaia|24|4.41|drama, romance, thriller|
HENNEKO – The Hentai Prince and the Stony Cat -||4.58|drama, romance, supernatural|
Kakuriyo -Bed & Breakfast for Spirits-||4.85|drama, romance, supernatural|
Ceres, Celestial Legend||3.83|drama, romance, supernatural|
Anohana: The Flower We Saw That Day|11|4.82|drama, romance, slice of life, supernatural|
Myself; Yourself||4.8|drama, romance, slice of life|
H2O: Footprints in the Sand||4.77|drama, romance, slice of life|
Ristorante Paradiso||4.62|drama, romance, slice of life|
Oreimo|13|4.42|drama, romance, slice of life|
Sweet Blue Flowers||4.68|drama, romance, slice of life|
Ano Natsu de Matteru||4.69|drama, romance, slice of life|
Hourou Musuko Wandering Son||4.75|drama, romance, slice of life|
