title|episodes|rate|genre|
Thermae Romae||4.29|comedy, historical, isekai, seinen, slice of life|
Tono to Issho||4.25|comedy, historical|
Meow Meow Japanese History|96|5|comedy, historical|
Ah My Buddha!!||3|comedy, harem, slice of life, supernatural|
Seitokai No Ichizon - Student Councils Discretion||4.75|comedy, harem, slice of life|
Himegoto|13|3.59|comedy, harem, slice of life|
GJ CLUB||4.33|comedy, harem, slice of life|
Yuuna and the Haunted Hot Springs|12|3.89|comedy, harem, shonen, supernatural|
The Comic Artist and His Assistants|12|4.33|comedy, harem, seinen, slice of life|
INVADERS of the ROKUJYOMA!?|12|4.43|comedy, harem, romance, supernatural|
My Mental Choices are Completely Interfering with my School Romantic Comedy|1|4.37|comedy, harem, romance, slice of life|
My First Girlfriend is a Gal|1|3.42|comedy, harem, romance, slice of life|
The Quintessential Quintuplets|12|4.56|comedy, harem, romance, slice of life|
Oreshura||4.25|comedy, harem, romance, slice of life|
Kanojo ga Flag wo Oraretara (If Her Flag Breaks)|13|3.43|comedy, harem, romance, slice of life|
We Never Learn: BOKUBEN|26|4.56|comedy, harem, romance, shonen, slice of life|
Kiss Him, Not Me|12|4.48|comedy, harem, romance, shojo|
Tsugumomo|12|4.1|comedy, harem, romance, seinen, supernatural|
DearS||3.63|comedy, harem, romance, sci-fi|
The World God Only Knows|36|4.77|comedy, harem, romance|
Why the hell are you here, Teacher!?|12|3.96|comedy, harem, romance|
Koi Koi Seven||2.75|comedy, harem, romance|
Kiitaro's yokai picture diary|12|4.25|comedy, fantasy, supernatural|
You're Being Summoned, Azazel||4.25|comedy, fantasy, supernatural|
Flying Witch|12|4.69|comedy, fantasy, shonen, slice of life, supernatural|
DD Fist of the North Star|25|4.24|comedy, fantasy, shonen, slice of life|
Koro Sensei Quest!||4.25|comedy, fantasy, shonen|
Mahou Shoujo? Naria Girls|12|2.55|comedy, fantasy, shojo|
Cat God||4.4|comedy, fantasy, seinen, supernatural|
KONOHANA KITAN|12|4.56|comedy, fantasy, seinen, slice of life|
KAIJU GIRLS|24|4.57|comedy, fantasy, sci-fi|
RIN-NE|75|4.39|comedy, fantasy, romance, slice of life, supernatural|
Pita-Ten||4|comedy, fantasy, romance, slice of life, supernatural|
Miss Kobayashi's Dragon Maid|28|4.72|comedy, fantasy, romance, slice of life|
As Miss Beelzebub Likes it.|12|3.96|comedy, fantasy, romance, slice of life|
OZMAFIA!!|12|3|comedy, fantasy, romance, slice of life|
Orenchi no Furo Jijo|13|4.35|comedy, fantasy, romance, shojo, slice of life|
A Centaur's Life|12|3.32|comedy, fantasy, romance, seinen, slice of life|
Neo Angelique Abyss||4.75|comedy, fantasy, romance|
Fox Spirit Matchmaker|24|3.78|comedy, fantasy, romance|
Magical Girl Ore|12|4.34|comedy, fantasy, romance|
Lilpri||4.79|comedy, fantasy, music|
Robot Girls Z|9|4.18|comedy, fantasy, mechas, sci-fi|
Didn't I say to make my abilities average in the next life|12|3.81|comedy, fantasy, isekai|
ISEKAI QUARTET||4.6|comedy, fantasy, isekai|
Nurse Witch KOMUGI R|12|3.43|comedy, fantasy, idols|
SENGOKUCHOJYUGIGA|26|4.17|comedy, fantasy, historical, slice of life, supernatural|
Sengoku Collection (Parallel World Samurai)|26|4.21|comedy, fantasy, historical|
The Familiar of Zero|13|4.61|comedy, fantasy, harem, seinen|
Love Tyrant|12|3.84|comedy, fantasy, harem, romance, supernatural|
MONSTER MUSUME EVERYDAY LIFE WITH MONSTER GIRLS|12|4.39|comedy, fantasy, harem|
Mahou Shoujo Nante Mouiidesukara|24|3.37|comedy, fantasy|
HINAMATSURI|12|4.79|comedy, drama, slice of life, supernatural|
The Morose Mononokean|26|4.41|comedy, drama, slice of life, supernatural|
Usagi Drop||4.89|comedy, drama, slice of life|
My Roommate is a Cat|12|4.79|comedy, drama, slice of life|
Little Busters!||4.39|comedy, drama, slice of life|
Tamayura Hitotose||4.75|comedy, drama, slice of life|
GTO - The Animation|43|4.91|comedy, drama, shonen, slice of life|
Fruits Basket||4.91|comedy, drama, shojo, slice of life, supernatural|
School Babysitters|13|4.8|comedy, drama, shojo, slice of life|
Gurazeni: Money Pitch|24|4.75|comedy, drama, seinen, sports|
sweetness & lightning|12|4.7|comedy, drama, seinen, slice of life|
Mr. TONEGAWA Middle Management Blues|24|4.59|comedy, drama, seinen|
AOKANA: Four Rhythm Across the Blue|12|3.83|comedy, drama, sci-fi, sports|
Kotoura-san|12|4.58|comedy, drama, romance, supernatural|
Toradora!|25|4.82|comedy, drama, romance, slice of life|
Golden Time|24|4.61|comedy, drama, romance, slice of life|
My Love Story!!|24|4.88|comedy, drama, romance, slice of life|
My Teen Romantic Comedy SNAFU||4.65|comedy, drama, romance, slice of life|
Love, Chunibyo & Other Delusions||4.83|comedy, drama, romance, slice of life|
Love, Chunibyo & Other Delusions - Heart Throb -||4.54|comedy, drama, romance, slice of life|
WWW.Working!!|13|4|comedy, drama, romance, slice of life|
Gakuen Handsome|12|4.5|comedy, drama, romance, slice of life|
Honey and Clover||4.71|comedy, drama, romance, slice of life|
Tsuredure Children|12|4.61|comedy, drama, romance, shonen, slice of life|
The Pet Girl of Sakurasou||4.79|comedy, drama, romance, seinen|
Please Teacher!||4.41|comedy, drama, romance, sci-fi|
Skip Beat!||4.91|comedy, drama, romance|
Charlotte|13|4.51|comedy, drama, romance|
Masamune-kun's Revenge|13|3.61|comedy, drama, romance|
Blue Spring Ride||4.67|comedy, drama, romance|
Lychee Light Club|8|3.43|comedy, drama, romance|
Looking Up at the Half-Moon||4.44|comedy, drama, romance|
School-Live!|12|4.52|comedy, drama, mystery, postapocalyptic, slice of life, thriller|
Ace Attorney|47|3.78|comedy, drama, mystery|
Nazotokine|12|1.57|comedy, drama, isekai, sci-fi|
ZOMBIE LAND SAGA|12|4.5|comedy, drama, idols, music, supernatural|
Love Live! Sunshine!!|26|4.58|comedy, drama, idols, music, slice of life|
A Sister's All You Need.|12|4.31|comedy, drama, harem, romance, slice of life|
Saekano -How to Raise a Boring Girlfriend-|13|4.31|comedy, drama, harem, romance, slice of life|
Gakuen Heaven||4.86|comedy, drama, harem, romance, slice of life|
Da Capo III|13|4.3|comedy, drama, harem, romance|
Please Twins!||4.17|comedy, drama, harem, romance|
Beyond the Boundary||4.35|comedy, drama, fantasy, supernatural|
The Eccentric Family||4.67|comedy, drama, fantasy, slice of life, supernatural|
The Eccentric Family 2|12|4.93|comedy, drama, fantasy, slice of life, supernatural|
Our Home's Fox Deity||4.9|comedy, drama, fantasy, slice of life, supernatural|
Poco's Udon World|12|4.79|comedy, drama, fantasy, slice of life|
Yurikuma Arashi||4.71|comedy, drama, fantasy, romance, seinen, supernatural|
Junji Ito Collection|14|3.64|comedy, drama, fantasy, mystery, supernatural, thriller|
Umi Monogatari||3|comedy, drama, fantasy, magical girls|
Yamada-kun and the Seven Witches|24|4.71|comedy, drama, fantasy, harem, romance, slice of life, supernatural|
Unico In the Island of Magic||4.5|comedy, drama, fantasy|
Hyakko||4.7|comedy|
Bodacious Space Pirates|26|4.66|comedy|
Cells at Work!|14|4.76|comedy|
Phantom Thief Reinya||4.44|comedy|
Humanity Has Declined|12|4.43|comedy|
Magical Sempai|12|4.25|comedy|
Are You Lost?|12|3.9|comedy|
Seton Academy: Join the Pack!|11|4.2|comedy|
GTO||4.62|comedy|
Switch Girl!!||4.12|comedy|
Re-Kan!||4.17|comedy|
Military!|12|3.2|comedy|
HIMOTE HOUSE: A share house of super psychic girls|12|2.67|comedy|
Hackadoll THE ANIMATION|13|3.88|comedy|
VIRTUALSAN - LOOKING|12|3.12|comedy|
Peeping Life TV Season 1??|12|3.5|comedy|
Crazy For Me||4.69|comedy|
Milpom|6|2.67|comedy|
Oda Cinnamon Nobunaga|11|4.64|comedy|
Magical Somera-chan|12|3.73|comedy|
GTO Taiwan||3.75|comedy|
Wacky TV Nanana|48|4.33|comedy|
gdgd men's party||4|comedy|
Miss Machiko||3.8|comedy|
Days of Urashimasakatasen|12|3|comedy|
Gintama|379|4.87|comedy|
Occult Academy||4.58|adventure, supernatural|
A Place Further Than the Universe|13|4.9|adventure, seinen, slice of life|
Between the Sky and Sea|12|2.35|adventure, sci-fi, slice of life|
elDLIVE|12|3.35|adventure, sci-fi|
Magic Kaito 1412||4.64|adventure, romance, shonen|
A Wind Named Amnesia||4.5|adventure, postapocalyptic, sci-fi|
Dimension High School|12|3.33|adventure, mystery|
Psybuster|||adventure, mechas, mystery, postapocalyptic, sci-fi, shonen|
Taisho Mebiusline Chicchaisan|13|2.6|adventure, historical, supernatural|
YU-NO: A Girl Who Chants Love at the Bound of This World||3.85|adventure, harem, sci-fi, thriller|
HAKYU HOSHIN ENGI|25|2.93|adventure, fantasy, shonen, supernatural|
Yu-Gi-Oh! ARC-V||4.61|adventure, fantasy, shonen, supernatural|
Toriko|146|4.42|adventure, fantasy, shonen|
Mushishi|22|4.88|adventure, fantasy, seinen, slice of life, supernatural|
Utawarerumono The False Faces|25|3.41|adventure, fantasy, sci-fi, supernatural|
Yona of the Dawn|24|4.79|adventure, fantasy, romance, shojo, supernatural|
The World is Still Beautiful|12|4.65|adventure, fantasy, romance, shojo|
Maoyu|12|4.35|adventure, fantasy, romance|
This Boy is a Professional Wizard|4|4.44|adventure, fantasy, romance|
Wise Man's Grandchild||3.65|adventure, fantasy, isekai, romance, seinen|
Isekai Cheat Magician|12|2.13|adventure, fantasy, isekai|
Ascendance of a Bookworm|16|4.71|adventure, fantasy, isekai|
The Twelve Kingdoms||4.85|adventure, fantasy, historical, isekai|
Death March to the Parallel World Rhapsody|24|3.77|adventure, fantasy, harem, isekai, romance, slice of life|
The Master of Ragnarok & Blesser of Einherjar|12|2.3|adventure, fantasy, harem, isekai|
Yonna in the Solitary Fortress||3.83|adventure, fantasy|
GRANBLUE FANTASY: The Animation|26|3.84|adventure, fantasy|
Little Nemo: Adventures in Slumberland||4.68|adventure, fantasy|
Monster Hunter Stories Ride On||3.17|adventure, fantasy|
Deltora Quest||4.46|adventure, fantasy|
Million Arthur||3|adventure, fantasy|
NAMUAMIDABUTSU! -UTENA-|12|3|adventure, fantasy|
Fantastic Adventures of Unico||4|adventure, fantasy|
Jungle Emperor Leo||5|adventure, fantasy|
Natsume Yuujinchou 5|14|4.9|adventure, drama, slice of life, supernatural|
Digimon Adventure tri.|26|4.32|adventure, drama, sci-fi|
Valerian and Laureline||4.46|adventure, drama, romance, sci-fi|
Case Closed||4.92|adventure, drama, mystery, thriller|
ACCA: 13-Territory Inspection Dept.|13|4.63|adventure, drama, mystery, sci-fi, thriller|
Sound of the Sky||4.74|adventure, drama, music, postapocalyptic, slice of life|
SHELTER||4.83|adventure, drama, music, postapocalyptic, sci-fi|
Eureka Seven||4.87|adventure, drama, mechas, romance, sci-fi|
Ghost Slayers Ayashi||4.43|adventure, drama, historical, supernatural|
Earl and Fairy||3.71|adventure, drama, harem, historical, romance|
The Galaxy Railways: A Letter from the Abandoned Planet||3.67|adventure, drama, fantasy, sci-fi|
The Ancient Magus' Bride|54|4.79|adventure, drama, fantasy, romance, slice of life, supernatural|
Kaiba||5|adventure, drama, fantasy, romance, sci-fi|
Sunday Without God|12|4.44|adventure, drama, fantasy, mystery, postapocalyptic, supernatural|
Night on the Galactic Railroad||4.5|adventure, drama, fantasy, mystery|
Fushigi Yugi||4.39|adventure, drama, fantasy, isekai, romance, shojo|
Fushigi Yugi: Eikoden||3.2|adventure, drama, fantasy, isekai, romance, shojo|
Fushigi Yugi OVA||4|adventure, drama, fantasy, isekai, romance, shojo|
Somali and the Forest Spirit|12|4.79|adventure, drama, fantasy|
The Sprites of Floria|1|2.2|adventure, drama, fantasy|
Ringing Bell||4|adventure, drama, fantasy|
Black Jack||4.71|adventure, drama|
Hanamaru Kindergarten||4.76|adventure, comedy, slice of life|
Laid-Back Camp|12|4.84|adventure, comedy, slice of life|
Traveling Daru||4.64|adventure, comedy, slice of life|
Shonen Ashibe GO! GO! Goma-chan|12|4.33|adventure, comedy, slice of life|
The Irresponsible Galaxy Tylor|12|1.44|adventure, comedy, sci-fi|
The Journey Home|26|3.4|adventure, comedy, sci-fi|
JOKER|52|4.4|adventure, comedy, mystery, shonen|
Cardcaptor Sakura: Clear Card|23|4.6|adventure, comedy, magical girls, shojo|
Cardcaptor Sakura: The Movie||3.67|adventure, comedy, magical girls, shojo|
Cardcaptor Sakura the Movie 2: The Sealed Card||5|adventure, comedy, magical girls, shojo|
El-Hazard: The Wanderers||3.17|adventure, comedy, isekai|
Nobunaga Concerto|1|4.79|adventure, comedy, historical, romance, shonen|
Hozuki's Coolheadedness|13|4.71|adventure, comedy, fantasy, seinen, slice of life, supernatural|
Elemental Gelade||5|adventure, comedy, fantasy, romance|
Kemono Friends|24|4.35|adventure, comedy, fantasy, postapocalyptic|
FLIP FLAPPERS|13|4.74|adventure, comedy, fantasy, magical girls|
KONOSUBA -God's blessing on this wonderful world!|44|4.65|adventure, comedy, fantasy, isekai, supernatural|
No Game No Life|12|4.7|adventure, comedy, fantasy, isekai, sci-fi|
NG Knight Lamune & 4||5|adventure, comedy, fantasy, isekai, romance|
Is It Wrong to Try to Pick Up Girls in a Dungeon?|26|4.62|adventure, comedy, fantasy, harem, romance|
Kyo Kara Maoh||4.2|adventure, comedy, fantasy, harem, isekai, supernatural|
The Tower of DRUAGA -the Aegis of URUK-||4.75|adventure, comedy, fantasy|
The Tower of DRUAGA -the Sword of URUK-||4.71|adventure, comedy, fantasy|
Muromi-san|13|4.69|adventure, comedy, fantasy|
Gokudo||4.8|adventure, comedy, fantasy|
The Wonderful Wizard of Oz||4.5|adventure, comedy, fantasy|
Black Jack The Movie||5|adventure, comedy, drama, thriller|
Keep Your Hands Off Eizouken!|11|4.69|adventure, comedy, drama, slice of life|
Lost Universe||3.67|adventure, comedy, drama, sci-fi, shonen|
Familiar of Zero F||4.6|adventure, comedy, drama, fantasy, harem, isekai, romance|
Hagane Orchestra|12|4.4|adventure, comedy|
The File of Young Kindaichi Returns||3.9|adventure,  ,  ,  ,  ,  ,  ,  ,  ,  , mystery, shonen, supernatural, thriller|
Noblesse: Awakening||4.63|action, supernatural, thriller|
Lady Death||3.78|action, supernatural|
Bloodivores|12|2.41|action, supernatural|
Hitori No Shita - The Outcast|37|3.91|action, supernatural|
DEVIL SURVIVOR 2 THE ANIMATION||3.81|action, supernatural|
Sin The Movie||3.89|action, supernatural|
Qualidea Code|12|3.49|action, supernatural|
Butlers X Battlers|12|3.25|action, supernatural|
Keijo!!!!!!!!|12|4.6|action, sports|
GIRLS und PANZER||4.5|action, slice of life, sports|
Fire Force||4.18|action, shonen, supernatural|
Hinomaru Sumo|24|4.72|action, shonen, sports|
Triage X|1|3.23|action, shonen|
Unriddle||4|action, sgdrama, thriller|
CLIF||3.75|action, sgdrama, thriller|
Tenjho Tenge||2.69|action, seinen, supernatural|
TWOCAR|12|2.55|action, seinen, sports|
Nobunagun|13|4.55|action, sci-fi, shonen|
Yu-Gi-Oh! VRAINS|12|4.17|action, sci-fi, shonen|
Future Card Buddyfight||4.2|action, sci-fi, shonen|
8 Man After||1|action, sci-fi, shonen|
TERRAFORMARS|39|3.31|action, sci-fi, seinen, thriller|
Gatchaman Crowds|13|4.15|action, sci-fi|
Hand Shakers|12|2.78|action, sci-fi|
BLACKFOX|1|3.79|action, sci-fi|
KanColle|12|4|action, sci-fi|
High School Fleet|12|4.21|action, sci-fi|
A Certain Scientific Railgun|8|4.66|action, sci-fi|
Girly Air Force|12|3.95|action, sci-fi|
A Certain Scientific Accelerator|12|4.12|action, sci-fi|
Brave Witches|12|4.3|action, sci-fi|
Caligula|12|3.52|action, sci-fi|
Gunslinger Stratos THE ANIMATION|12|3.43|action, sci-fi|
Blade Runner Black Out 222||4.48|action, sci-fi|
Digimon Universe App Monsters|52|4.67|action, sci-fi|
HEROBANK||3.14|action, sci-fi|
Shingu: Secret of the Stellar Wars||4.6|action, sci-fi|
Battle Girl High School|12|5|action, sci-fi|
Zombie Loan||3.5|action, romance, supernatural, thriller|
The Severing Crime Edge||4.24|action, romance, seinen|
Library War||4.85|action, romance|
Kabaneri of the Iron Fortress|14|4.14|action, postapocalyptic, supernatural, thriller|
GOD EATER|13|4|action, postapocalyptic, sci-fi|
PERSONA5 the Animation|28|3.94|action, mystery, supernatural, thriller|
Mononoke||4.83|action, mystery, supernatural, thriller|
PERSONA5 the Animation -THE DAY BREAKERS-|1|4.26|action, mystery, supernatural, thriller|
Fantastic Detective Labyrinth||3|action, mystery, supernatural|
Black Bullet|13|4.11|action, mystery, postapocalyptic, sci-fi|
MEKAKUCITY ACTORS|12|4.7|action, music, romance, sci-fi|
Gundam Build Divers|39|3.75|action, mechas, sci-fi, slice of life|
Gundam Build Fighters|5|4.91|action, mechas, sci-fi, slice of life|
Mobile Suit GUNDAM Iron Blooded Orphans|5|4.57|action, mechas, sci-fi|
gen:LOCK|8|4|action, mechas, sci-fi|
Majestic Prince||4.7|action, mechas, sci-fi|
Nobunaga the Fool||3.32|action, mechas, sci-fi|
Vividred Operation||3.18|action, mechas, sci-fi|
ARGEVOLLEN|24|3.25|action, mechas, sci-fi|
Active Raid|24|2.71|action, mechas, sci-fi|
MOBILE SUIT GUNDAM |5|4.7|action, mechas, sci-fi|
MOBILE SUIT GUNDAM UNICORN RE:96|22|3.62|action, mechas, sci-fi|
Mobile Suit Gundam Seed|48|4.13|action, mechas, sci-fi|
Mobile Suit Gundam Wing|49|3.9|action, mechas, sci-fi|
Fight League: Gear Gadget Generators|26|3.11|action, mechas, sci-fi|
MOBILE SUIT GUNDAM THE ORIGIN Advent of the Red Comet|13|4.69|action, mechas, sci-fi|
Mobile Suit Gundam Seed Destiny|5|3|action, mechas, sci-fi|
Mobile Fighter G Gundam|49|4.45|action, mechas, sci-fi|
DEMIAN||3.55|action, mechas, sci-fi|
Mobile Suit Gundam Wing - Endless Waltz|1|4.71|action, mechas, sci-fi|
Giant Gorg||4.33|action, mechas, sci-fi|
Dancouga: Super Beast Machine God||4|action, mechas, sci-fi|
GoShogun||5|action, mechas, sci-fi|
Captain Earth|25|3.42|action, mechas, romance, sci-fi|
Karate Girl||4.43|action, martial arts, thriller|
Shinobi Girl||1|action, martial arts|
Female Convict Scorpion||3|action, martial arts|
Steel Fisted Dragon||5|action, martial arts|
The Dragon Lives|||action, martial arts|
Schoolgirl Strikers|13|2.5|action, magical girls, sci-fi, supernatural|
Sailor Moon Crystal|39|4.45|action, magical girls, romance, shojo|
Wonder Momo|5|2.27|action, idols, magical girls, sci-fi|
RH Plus||4.63|action, horror, jdrama|
Otome Yokai Zakuro||4.77|action, historical, romance|
Angolmois: Record of Mongol Invasion|12|4.61|action, historical|
Gifu Dodo!! Kanetsugu and Keiji|25|4.21|action, historical|
Infinite Stratos||3.52|action, harem, mechas, romance, sci-fi|
Dai-Shogun - Great Revolution|12|2.31|action, harem, historical, mechas, sci-fi|
Rail Wars!||3.51|action, harem|
Wizard Barristers||3.31|action, fantasy, supernatural, thriller|
Mushi-Uta||4.73|action, fantasy, supernatural|
Katana Maidens ~ Toji No Miko|25|4.2|action, fantasy, supernatural|
Fate/Grand Order ‐First Order‐|1|3.55|action, fantasy, supernatural|
JUNI TAISEN: ZODIAC WAR|12|3.29|action, fantasy, shonen, supernatural|
My Hero Academia|86|4.8|action, fantasy, shonen|
ORECA BATTLE||3|action, fantasy, shonen|
Hakkenden: Eight Dogs of the East|26|4.64|action, fantasy, shojo, supernatural|
Berserk|26|3.51|action, fantasy, seinen, supernatural|
Witch Craft Works|12|4.33|action, fantasy, seinen, supernatural|
The Irregular at Magic High School|26|4.18|action, fantasy, sci-fi, supernatural|
GARO -VANISHING LINE-|24|4.49|action, fantasy, sci-fi, supernatural|
Kyousougiga|13|4.78|action, fantasy, sci-fi, slice of life, supernatural|
World Trigger|73|4.37|action, fantasy, sci-fi, shonen, supernatural|
Yu-Gi-Oh! 5D's||4.71|action, fantasy, sci-fi, shonen, supernatural|
Yu-Gi-Oh! ZEXAL||4|action, fantasy, sci-fi, shonen, supernatural|
Dragon Ball Super|131|4.24|action, fantasy, sci-fi, shonen|
Os Cavaleiros do Zodíaco - Saintia Sho|1|3.78|action, fantasy, sci-fi, shonen|
Taboo Tattoo|12|2.24|action, fantasy, sci-fi|
A Certain Magical Index|26|3.55|action, fantasy, sci-fi|
Luck & Logic||4.5|action, fantasy, sci-fi|
Absolute Duo||3.62|action, fantasy, romance|
Ultraman Geed|26|4.88|action, fantasy, mechas, sci-fi|
Fate/kaleid liner PRISMA ILLYA|42|4.9|action, fantasy, magical girls, supernatural|
Day Break Illusion|13|4.16|action, fantasy, magical girls|
Majin Bone|52|3.29|action, fantasy, isekai, shonen|
The Silver Guardian|18|2.9|action, fantasy, isekai, sci-fi, supernatural|
Onimusha: Dawn of Dreams||1.6|action, fantasy, historical, supernatural|
The Ambition of Oda Nobuna|12|4.56|action, fantasy, historical|
Ulysses: Jeanne d'Arc and the Alchemist Knight|12|2.11|action, fantasy, historical|
Dies irae|18|2.77|action, fantasy, historical|
Katsugeki TOUKEN RANBU|13|3.81|action, fantasy, historical|
Samurai Warriors|13|3.78|action, fantasy, historical|
STRIKE THE BLOOD||3.91|action, fantasy, harem, supernatural|
Unlimited Fafnir|12|3.35|action, fantasy, harem, seinen, supernatural|
World Break: Aria of Curse for a Holy Swordsman|12|3.5|action, fantasy, harem, romance, seinen|
How Not to Summon a Demon Lord|12|4.4|action, fantasy, harem, romance|
Asura Cryin'||4.73|action, fantasy, harem, mechas|
SENGOKU NIGHT BLOOD|12|2.9|action, fantasy, harem, historical, isekai, romance, shojo, supernatural, thriller|
Dragon Crisis||4.71|action, fantasy, harem|
ASSASSINS PRIDE|12|3.17|action, fantasy|
Magical Warfare||2.72|action, fantasy|
Ixion Saga DT|25|3.77|action, fantasy|
Lance N' Masques|12|2.93|action, fantasy|
Magical Girl Spec-Ops Asuka|12|4.2|action, fantasy|
Dances with the Dragons|12|2.7|action, fantasy|
Monster Strike|159|2.59|action, fantasy|
Fate/Grand Order Absolute Demonic Front: Babylonia|18|4.18|action, fantasy|
Lord of Vermilion: The Crimson King|12|2.57|action, fantasy|
Demon Slayer: Kimetsu no Yaiba|26|4.87|action, drama, supernatural|
ALL OUT!!|25|4.89|action, drama, sports|
Champion Joe 2|47|4.76|action, drama, sports|
Princess Nine||4.6|action, drama, sports|
Yowamushi Pedal|65|4.79|action, drama, shonen, sports|
Yowamushi Pedal New Generation|5|4.48|action, drama, shonen, sports|
Tiger Mask W|38|4.67|action, drama, shonen, sports|
The Prince of Tennis II OVA vs Genius 1|1|4.71|action, drama, shonen, sports|
Slam Dunk (Dub)||4.75|action, drama, shonen, sports|
Try Knights|12|2.7|action, drama, shojo, sports|
The Garden of Sinners|1|4.61|action, drama, seinen, supernatural, thriller|
Kamisama Dolls||4.58|action, drama, seinen, supernatural|
Gangsta.||4.29|action, drama, seinen|
Blood Blockade Battlefront|24|4.61|action, drama, sci-fi, supernatural|
Kiseijuu|24|4.75|action, drama, sci-fi, seinen, thriller|
DOUBLE DECKER! DOUG & KIRILL|16|4.3|action, drama, sci-fi, seinen|
Cowboy Bebop||4.93|action, drama, sci-fi|
Legend of the Galactic Heroes: Die Neue These|24|4.42|action, drama, sci-fi|
Blue Submarine No. 6||3.47|action, drama, sci-fi|
Kenka Bancho Otome -Girl Beats Boys-|12|3.76|action, drama, romance, shojo|
DRAMAtical Murder|12|3.99|action, drama, romance, sci-fi|
BAKUMATSU GIJINDEN ROMAN|12|3.38|action, drama, romance, sci-fi|
RErideD - Derrida, who leaps through time|12|2.97|action, drama, postapocalyptic, sci-fi, seinen|
Persona4 the Golden ANIMATION|12|3.75|action, drama, mystery, slice of life, supernatural, thriller|
BTOOOM!||4.39|action, drama, mystery, sci-fi, seinen|
BIG ORDER|1|2.43|action, drama, mystery, postapocalyptic, thriller|
Hakata Tonkotsu Ramens|12|4.68|action, drama, mystery|
BLASSREITER||4.63|action, drama, mechas, sci-fi|
Aldnoah.Zero|25|4.1|action, drama, mechas, sci-fi|
BBK/BRNK|24|3.12|action, drama, mechas, sci-fi|
SSSS.GRIDMAN||4.19|action, drama, mechas, sci-fi|
Full Metal Panic! Invisible Victory||4.4|action, drama, mechas, sci-fi|
Gunbuster 2||4.25|action, drama, mechas, sci-fi|
Full Metal Panic! The Second Raid||5|action, drama, mechas, sci-fi|
DARLING in the FRANXX|5|4.34|action, drama, mechas, romance, sci-fi|
Twin Angels BREAK|12|3.62|action, drama, magical girls, shonen, supernatural|
91 Days|14|4.72|action, drama, historical, seinen|
JOKER GAME|24|4.36|action, drama, historical, mystery, seinen, thriller|
Schwarzes Marken|24|3.98|action, drama, historical, mechas, postapocalyptic, sci-fi|
Walkure Romanze|12|3.36|action, drama, harem, romance, sports|
Fate/stay night [Unlimited Blade Works]|26|4.51|action, drama, fantasy, supernatural|
To the Abandoned Sacred Beasts|12|3.45|action, drama, fantasy, shonen, supernatural, thriller|
Magical Girl Raising Project|12|3.6|action, drama, fantasy, seinen|
Record of Grancrest War|25|3.59|action, drama, fantasy, romance|
Rewrite|24|3.52|action, drama, fantasy, romance|
Chivalry of a Failed Knight|12|4.79|action, drama, fantasy, romance|
The Third: The Girl with the Blue Eye||4.4|action, drama, fantasy, postapocalyptic, sci-fi|
In/Spectre|11|3.85|action, drama, fantasy, mystery, romance, supernatural, thriller|
Brynhildr in the Darkness|13|3.91|action, drama, fantasy, mystery, romance|
THE PROMISED NEVERLAND|12|4.91|action, drama, fantasy, mystery, postapocalyptic, sci-fi, shonen, thriller|
The Price of Smiles|12|3.2|action, drama, fantasy, mechas, sci-fi|
Wish Upon the Pleiades|12|3.63|action, drama, fantasy, magical girls, sci-fi|
Shamanic Princess||3.67|action, drama, fantasy, magical girls, romance|
Izetta: The Last Witch|12|4.3|action, drama, fantasy, historical, romance, supernatural|
Basilisk : The Ouka Ninja Scrolls|24|2.17|action, drama, fantasy, historical, romance, seinen|
Drifters||4.61|action, drama, fantasy, historical, isekai|
Thunderbolt Fantasy||4.68|action, drama, fantasy, historical|
Anti-Magic Academy: The 35th Test Platoon|12|3.52|action, drama, fantasy|
BROTHERHOOD FINAL FANTASY XV|5|4.88|action, drama, fantasy|
CHRONOS RULER|13|3.22|action, drama, fantasy|
Captain Harlock||4.61|action, drama|
Beelzebub||4.79|action, comedy, supernatural|
To Be Heroine|8|4.36|action, comedy, supernatural|
Akiba's Trip The Animation||4.3|action, comedy, supernatural|
ETOTAMA|12|3.85|action, comedy, supernatural|
Ghastly Prince Enma Burning Up||5|action, comedy, supernatural|
Eyeshield 21||4.85|action, comedy, sports|
Sabagebu!|12|4.68|action, comedy, slice of life, sports|
Scorching Ping Pong Girls|12|4.38|action, comedy, slice of life, sports|
Tribe Cool Crew|5|4.27|action, comedy, slice of life, sports|
Ninja Nonsense||4|action, comedy, slice of life|
Rowdy Sumo Wrestler Matsutaro|23|3.8|action, comedy, shonen, sports|
Food Wars! Shokugeki no Soma|74|4.77|action, comedy, shonen|
One-Punch Man|25|4.22|action, comedy, shonen|
Yakitate!! Japan||4.43|action, comedy, shonen|
Sparrow's Hotel|12|3.18|action, comedy, seinen, slice of life|
PUNCH LINE|12|4.26|action, comedy, sci-fi, supernatural|
Samurai Flamenco|22|3.81|action, comedy, sci-fi, supernatural|
Inferno Cop|25|4.39|action, comedy, sci-fi, supernatural|
NINJA SLAYER FROM ANIMATION||3.64|action, comedy, sci-fi, shonen|
Time Bokan 24|48|3.6|action, comedy, sci-fi|
Aachi & Ssipak||3|action, comedy, sci-fi|
ISUCA|1|2.95|action, comedy, romance, supernatural|
Inukami!||4.8|action, comedy, romance, supernatural|
Blue Seed||5|action, comedy, romance, sci-fi, supernatural|
